idseaConditionFact,bulk,texture,shape,uniformity,score,date,idspot
398,1,2,3,0,3,5/13/2020 13:00,386
399,1,2,3,2,7,5/13/2020 14:00,386
400,1,3,3,0,4,5/13/2020 16:00,386
401,1,2,3,1,3,5/14/2020 7:00,386
402,1,2,3,2,4,5/14/2020 9:00,386
403,0,3,3,0,1,5/14/2020 14:00,386
404,1,1,2,2,2,5/14/2020 7:00,380
405,0,1,3,1,1,5/14/2020 9:00,380
406,0,1,3,2,2,5/14/2020 15:00,380
407,1,1,3,2,3,5/18/2020 7:00,386
408,0,1,3,2,1,5/18/2020 9:00,386
409,0,2,3,2,1,5/18/2020 11:00,386
410,0,1,3,2,1,5/18/2020 7:00,380
411,0,1,3,2,1,5/18/2020 14:00,380
412,0,1,3,1,1,5/19/2020 7:00,380
413,0,2,3,1,1,5/19/2020 11:00,380
414,0,1,3,2,2,5/19/2020 7:00,386
415,0,2,3,1,1,5/19/2020 11:00,386
416,0,3,3,0,1,5/19/2020 16:00,386
417,0,2,3,0,1,5/20/2020 7:00,386
418,1,2,3,1,3,5/20/2020 12:00,386
419,1,2,3,0,2,5/20/2020 15:00,386
420,0,2,3,0,1,5/20/2020 7:00,380
421,0,3,3,0,1,5/20/2020 12:00,380
422,2,3,2,0,2,5/21/2020 7:00,386
423,1,3,1,0,1,5/21/2020 9:00,386
424,1,2,3,1,4,5/21/2020 12:00,386
425,2,2,3,0,4,5/21/2020 14:00,386
426,1,3,3,0,2,5/21/2020 16:00,386
427,1,3,3,0,2,5/21/2020 7:00,380
428,1,3,3,0,1,5/21/2020 10:00,380
429,0,3,3,0,1,5/21/2020 11:00,380
430,1,4,3,0,1,5/21/2020 13:00,380
431,2,3,1,0,4,5/22/2020 7:00,386
432,2,2,2,1,5,5/22/2020 8:00,386
433,1,2,3,1,5,5/22/2020 11:00,386
434,2,4,3,0,2,5/22/2020 13:00,386
435,1,2,3,1,4,5/22/2020 15:00,386
436,1,3,3,0,2,5/22/2020 7:00,380
437,2,3,1,1,3,5/22/2020 8:00,380
438,1,3,3,0,2,5/22/2020 12:00,380
439,1,3,3,0,2,5/22/2020 17:00,380
440,1,2,2,0,3,5/23/2020 7:00,386
441,1,1,3,0,3,5/23/2020 12:00,386
442,2,1,3,1,5,5/23/2020 14:00,386
443,1,1,4,2,5,5/23/2020 16:00,386
444,1,3,1,0,1,5/23/2020 7:00,380
445,0,2,3,0,1,5/23/2020 9:00,380
446,1,2,3,2,4,5/23/2020 14:00,380
447,1,1,3,2,6,5/23/2020 16:00,380
448,1,1,2,2,8,5/24/2020 7:00,386
449,1,1,2,2,4,5/24/2020 9:00,386
450,1,1,3,2,6,5/24/2020 12:00,386
451,0,2,3,1,2,5/24/2020 13:00,386
452,1,2,3,1,5,5/24/2020 15:00,386
453,0,1,3,2,1,5/24/2020 7:00,380
454,1,1,1,2,2,5/24/2020 9:00,380
455,0,2,3,2,1,5/24/2020 13:00,380
456,0,1,3,2,1,5/24/2020 16:00,380
457,0,2,3,2,2,5/25/2020 7:00,386
458,0,1,3,2,2,5/25/2020 11:00,386
459,0,1,3,2,2,5/26/2020 7:00,386
460,1,1,3,2,4,5/26/2020 10:00,386
461,0,1,3,2,1,5/26/2020 12:00,386
462,0,2,3,2,1,5/26/2020 14:00,386
463,0,1,3,2,2,5/25/2020 7:00,380
464,0,1,3,2,1,5/26/2020 7:00,386
465,0,1,3,2,2,5/27/2020 7:00,386
466,1,2,3,1,3,5/27/2020 16:00,386
467,0,1,1,2,1,5/27/2020 7:00,380
468,1,2,2,2,2,5/27/2020 16:00,380
469,1,2,3,0,3,5/29/2020 7:00,386
470,0,1,3,0,1,5/29/2020 8:00,386
471,1,3,3,0,2,5/29/2020 12:00,386
472,0,4,3,0,1,5/29/2020 13:00,386
473,0,2,3,0,1,5/29/2020 7:00,380
474,0,3,3,0,1,5/29/2020 10:00,380
475,0,2,3,1,1,6/1/2020 7:00,386
476,1,1,1,1,2,6/1/2020 7:00,380
477,0,1,1,2,1,6/1/2020 10:00,380
478,0,2,1,2,1,6/1/2020 16:00,380
